# Benchmark Run Metadata
Run ID,20260505_182425
Timestamp,2026-05-05T18:24:28.831514
Duration (s),202.35
Hardware,android

# Quantization Results
Quantization,Load Time (s),Peak RAM (MB),RAM Increase (MB),TTFT (ms),Prefill TPS,Decode TPS,Prompt Tokens,Output Tokens,GPU Memory (MB),GPU Utilization (%)
Q2_K,1.37,660.82,484.19,1403.31,17.81,490.89,25,137,N/A,N/A
Q4_0,0.96,1341.74,681.06,984.40,25.40,479.00,25,137,N/A,N/A
Q2_K,1.35,663.82,-664.14,1424.83,17.55,490.16,25,137,N/A,N/A
Q4_0,0.95,1352.61,688.79,891.32,28.05,510.91,25,137,N/A,N/A
Q2_K,1.35,675.32,-677.29,1479.81,16.89,493.74,25,137,N/A,N/A
Q4_0,0.90,1356.25,680.93,920.49,27.16,489.50,25,137,N/A,N/A
Q2_K,1.36,687.34,-668.90,1400.31,17.85,484.94,25,137,N/A,N/A
Q4_0,0.91,1328.10,640.75,908.67,27.51,486.67,25,137,N/A,N/A
Q2_K,1.40,701.08,-627.02,1361.93,18.36,618.13,25,137,N/A,N/A
Q4_0,0.98,1328.26,627.19,914.86,27.33,496.96,25,137,N/A,N/A

# Ablation Study Results
Scenario,Configuration,Metrics,Improvement
control,"{""backend_type"": ""llama-server"", ""cache_mode"": ""none"", ""prompt_cache_enabled"": false, ""cache_state"": ""disabled"", ""is_warm_run"": false, ""scenario_description"": ""No caching - true baseline measurement"", ""cache_activity_verified"": true}","{""ttft_ms"": 22551.09, ""prefill_tps"": 45.36, ""decode_tps"": 14.73, ""memory_overhead_mb"": 0.04, ""peak_memory_mb"": 177.51}",N/A
cold_cache,"{""backend_type"": ""llama-server"", ""cache_mode"": ""both"", ""prompt_cache_enabled"": true, ""cache_state"": ""cold_create"", ""is_warm_run"": false, ""scenario_description"": ""Cache enabled but empty (first request)"", ""cache_activity_verified"": true}","{""ttft_ms"": 22348.71, ""prefill_tps"": 45.77, ""decode_tps"": 14.51, ""memory_overhead_mb"": 25.5, ""peak_memory_mb"": 551.54}",0.90%
warm_cache,"{""backend_type"": ""llama-server"", ""cache_mode"": ""both"", ""prompt_cache_enabled"": true, ""cache_state"": ""warm_reuse"", ""is_warm_run"": true, ""scenario_description"": ""Cache populated and reused (subsequent requests)"", ""cache_activity_verified"": true}","{""ttft_ms"": 11630.68, ""prefill_tps"": 87.96, ""decode_tps"": 14.64, ""memory_overhead_mb"": 25.72, ""peak_memory_mb"": 551.71}",48.43%

# Statistical Summaries
Metric,Mean,Std Dev,CI 95% Low,CI 95% High,Outliers
ttft_ms,1414.04,43.19,1376.18,1451.89,"1479.81, 1361.93"
prefill_tps,17.69,0.54,17.22,18.16,"16.89, 18.36"
decode_tps,515.57,57.42,465.24,565.90,618.13
load_time_s,1.37,0.02,1.35,1.38,None
peak_ram_mb,677.68,16.75,662.99,692.36,None
ram_increase_mb,-430.63,511.76,-879.21,17.95,484.19
ttft_ms,923.95,35.52,892.81,955.08,984.40
prefill_tps,27.09,1.00,26.21,27.97,"25.40, 28.05"
decode_tps,492.61,12.08,482.02,503.20,None
load_time_s,0.94,0.03,0.91,0.97,None
peak_ram_mb,1341.39,13.19,1329.83,1352.95,None
ram_increase_mb,663.74,27.78,639.39,688.10,None

