# Benchmark Run Metadata
Run ID,20260505_160613
Timestamp,2026-05-05T16:06:32.689486
Duration (s),857.43
Hardware,jetson_xavier_nx

# Quantization Results
Quantization,Load Time (s),Peak RAM (MB),RAM Increase (MB),TTFT (ms),Prefill TPS,Decode TPS,Prompt Tokens,Output Tokens,GPU Memory (MB),GPU Utilization (%)
Q8_0,0.85,1639.65,1181.88,147.86,128.50,5.14,19,59,N/A,N/A
Q4_0,0.40,1131.58,670.77,150.78,126.01,4.67,19,17,N/A,N/A
Q2_K,0.37,986.33,525.09,180.25,105.41,4.18,19,51,N/A,N/A
Q8_0,0.46,1638.14,1176.89,138.20,137.48,4.99,19,59,N/A,N/A
Q4_0,0.41,1136.58,675.33,150.34,126.38,4.62,19,17,N/A,N/A
Q2_K,0.36,991.16,525.09,177.38,107.11,4.16,19,51,N/A,N/A
Q8_0,0.46,1642.97,1176.89,141.91,133.88,5.08,19,59,N/A,N/A
Q4_0,0.39,1136.59,670.51,159.07,119.45,4.61,19,17,N/A,N/A
Q2_K,0.37,991.39,525.31,178.20,106.62,4.19,19,51,N/A,N/A
Q8_0,0.45,1643.20,1176.89,140.42,135.31,5.17,19,59,N/A,N/A
Q4_0,0.39,1136.81,670.51,167.79,113.24,3.70,19,17,N/A,N/A
Q2_K,0.39,991.39,525.09,220.39,86.21,4.05,19,51,N/A,N/A
Q8_0,0.47,1643.20,1176.89,139.52,136.18,5.09,19,59,N/A,N/A
Q4_0,0.39,1136.81,670.51,156.55,121.37,4.63,19,17,N/A,N/A
Q2_K,0.36,991.39,525.09,179.52,105.84,4.22,19,51,N/A,N/A

# Ablation Study Results
Scenario,Configuration,Metrics,Improvement
control_no_cache,"{""cache_enabled"": false, ""cache_type"": null, ""cache_state"": ""N/A"", ""true_no_cache_baseline"": true}","{""ttft_ms"": 91293.04, ""prefill_tps"": 12.51, ""decode_tps"": 6.29, ""memory_overhead_mb"": 1158.89, ""peak_memory_mb"": 1718.17, ""prompt_tokens"": 1142, ""output_tokens"": 26}",N/A
cold_ram_cache,"{""cache_enabled"": true, ""cache_type"": ""ram"", ""cache_state"": ""empty""}","{""ttft_ms"": 91169.21, ""prefill_tps"": 12.53, ""decode_tps"": 6.33, ""memory_overhead_mb"": 1152.92, ""peak_memory_mb"": 1718.02, ""prompt_tokens"": 1142, ""output_tokens"": 26}",0.14%
warm_ram_cache,"{""cache_enabled"": true, ""cache_type"": ""ram"", ""cache_state"": ""populated""}","{""ttft_ms"": 1258.65, ""prefill_tps"": 907.32, ""decode_tps"": 6.47, ""cache_memory_overhead_mb"": 94.16, ""total_memory_overhead_mb"": 1205.32, ""peak_memory_mb"": 1718.0, ""prompt_tokens"": 1142, ""output_tokens"": 51}",98.62%
cold_disk_cache,"{""cache_enabled"": true, ""cache_type"": ""disk"", ""cache_state"": ""empty""}","{""ttft_ms"": 91568.45, ""prefill_tps"": 12.47, ""decode_tps"": 6.04, ""memory_overhead_mb"": 1153.18, ""peak_memory_mb"": 1718.07, ""prompt_tokens"": 1142, ""output_tokens"": 26}",-0.30%
warm_disk_cache,"{""cache_enabled"": true, ""cache_type"": ""disk"", ""cache_state"": ""populated""}","{""ttft_ms"": 1243.6, ""prefill_tps"": 918.3, ""decode_tps"": 6.37, ""cache_memory_overhead_mb"": 94.03, ""total_memory_overhead_mb"": 1205.07, ""peak_memory_mb"": 1717.77, ""prompt_tokens"": 1142, ""output_tokens"": 51}",98.64%

# Statistical Summaries
Metric,Mean,Std Dev,CI 95% Low,CI 95% High,Outliers
ttft_ms,141.58,3.76,138.29,144.88,147.86
prefill_tps,134.27,3.48,131.22,137.32,128.50
decode_tps,5.09,0.07,5.03,5.15,None
load_time_s,0.54,0.17,0.38,0.69,0.85
peak_ram_mb,1641.43,2.38,1639.35,1643.52,None
ram_increase_mb,1177.89,2.23,1175.93,1179.84,1181.88
ttft_ms,156.91,7.14,150.65,163.16,None
prefill_tps,121.29,5.39,116.56,126.02,None
decode_tps,4.45,0.42,4.08,4.81,"4.67, 3.70"
load_time_s,0.40,0.01,0.39,0.40,None
peak_ram_mb,1135.67,2.29,1133.67,1137.68,1131.58
ram_increase_mb,671.53,2.13,669.66,673.39,675.33
ttft_ms,187.15,18.62,170.83,203.47,220.39
prefill_tps,102.24,8.98,94.36,110.11,86.21
decode_tps,4.16,0.07,4.10,4.22,4.05
load_time_s,0.37,0.01,0.36,0.38,0.39
peak_ram_mb,990.33,2.24,988.37,992.29,986.33
ram_increase_mb,525.13,0.10,525.05,525.22,525.31

