# Benchmark Run Metadata
Run ID,20260505_183318
Timestamp,2026-05-05T18:33:22.324305
Duration (s),111.67
Hardware,linux_x86

# Quantization Results
Quantization,Load Time (s),Peak RAM (MB),RAM Increase (MB),TTFT (ms),Prefill TPS,Decode TPS,Prompt Tokens,Output Tokens,GPU Memory (MB),GPU Utilization (%)
Q8_0,0.06,1395.65,1194.82,32.67,581.59,27.67,19,60,N/A,N/A
Q4_0,0.13,1408.18,1193.46,21.62,878.69,32.41,19,16,N/A,N/A
Q2_K,0.06,774.04,556.16,19.24,987.59,40.05,19,101,N/A,N/A
Q8_0,0.06,1397.59,1179.16,31.16,609.80,26.84,19,60,N/A,N/A
Q4_0,0.13,1407.12,1188.46,18.33,1036.38,39.13,19,16,N/A,N/A
Q2_K,0.13,774.45,555.62,19.43,977.95,38.37,19,101,N/A,N/A
Q8_0,0.06,1397.77,1178.92,32.09,592.14,27.42,19,60,N/A,N/A
Q4_0,0.13,1409.12,1190.29,16.84,1128.35,43.68,19,16,N/A,N/A
Q2_K,0.06,775.30,556.48,21.78,872.44,40.36,19,101,N/A,N/A
Q8_0,0.06,1400.62,1178.93,30.02,632.98,27.33,19,60,N/A,N/A
Q4_0,0.13,1411.98,1190.29,14.97,1269.14,43.66,19,16,N/A,N/A
Q2_K,0.06,775.32,553.63,19.45,976.67,40.31,19,101,N/A,N/A
Q8_0,0.06,1400.62,1178.91,33.38,569.16,25.58,19,60,N/A,N/A
Q4_0,0.13,1411.98,1190.30,16.29,1166.54,42.95,19,16,N/A,N/A
Q2_K,0.06,779.32,557.63,17.60,1079.31,39.65,19,101,N/A,N/A

# Ablation Study Results
Scenario,Configuration,Metrics,Improvement
control_no_cache,"{""cache_enabled"": false, ""cache_type"": null, ""cache_state"": ""N/A"", ""true_no_cache_baseline"": true}","{""ttft_ms"": 7722.32, ""prefill_tps"": 115.64, ""decode_tps"": 28.05, ""memory_overhead_mb"": 1160.93, ""peak_memory_mb"": 1476.15, ""prompt_tokens"": 893, ""output_tokens"": 40}",N/A
cold_ram_cache,"{""cache_enabled"": true, ""cache_type"": ""ram"", ""cache_state"": ""empty""}","{""ttft_ms"": 7469.44, ""prefill_tps"": 119.55, ""decode_tps"": 28.71, ""memory_overhead_mb"": 1141.04, ""peak_memory_mb"": 1482.15, ""prompt_tokens"": 893, ""output_tokens"": 40}",3.27%
warm_ram_cache,"{""cache_enabled"": true, ""cache_type"": ""ram"", ""cache_state"": ""populated""}","{""ttft_ms"": 146.48, ""prefill_tps"": 6096.45, ""decode_tps"": 28.39, ""cache_memory_overhead_mb"": 91.38, ""total_memory_overhead_mb"": 1252.36, ""peak_memory_mb"": 1470.93, ""prompt_tokens"": 893, ""output_tokens"": 47}",98.10%
cold_disk_cache,"{""cache_enabled"": true, ""cache_type"": ""disk"", ""cache_state"": ""empty""}","{""ttft_ms"": 7201.51, ""prefill_tps"": 124.0, ""decode_tps"": 28.27, ""memory_overhead_mb"": 1144.05, ""peak_memory_mb"": 1481.95, ""prompt_tokens"": 893, ""output_tokens"": 40}",6.74%
warm_disk_cache,"{""cache_enabled"": true, ""cache_type"": ""disk"", ""cache_state"": ""populated""}","{""ttft_ms"": 280.66, ""prefill_tps"": 3181.82, ""decode_tps"": 28.13, ""cache_memory_overhead_mb"": 91.38, ""total_memory_overhead_mb"": 1253.86, ""peak_memory_mb"": 1472.44, ""prompt_tokens"": 893, ""output_tokens"": 47}",96.37%

# Statistical Summaries
Metric,Mean,Std Dev,CI 95% Low,CI 95% High,Outliers
ttft_ms,31.86,1.31,30.71,33.01,None
prefill_tps,597.13,24.97,575.24,619.02,None
decode_tps,26.97,0.83,26.24,27.70,25.58
load_time_s,0.06,0.00,0.06,0.06,None
peak_ram_mb,1398.45,2.15,1396.57,1400.33,None
ram_increase_mb,1182.15,7.08,1175.94,1188.36,1194.82
ttft_ms,17.61,2.54,15.38,19.84,21.62
prefill_tps,1095.82,147.29,966.71,1224.93,None
decode_tps,40.37,4.83,36.13,44.60,None
load_time_s,0.13,0.00,0.13,0.13,None
peak_ram_mb,1409.68,2.22,1407.73,1411.62,None
ram_increase_mb,1190.56,1.81,1188.98,1192.14,"1193.46, 1188.46"
ttft_ms,19.50,1.49,18.19,20.81,"21.78, 17.60"
prefill_tps,978.79,73.31,914.53,1043.05,"872.44, 1079.31"
decode_tps,39.75,0.82,39.03,40.47,38.37
load_time_s,0.07,0.03,0.05,0.10,0.13
peak_ram_mb,775.69,2.11,773.84,777.53,779.32
ram_increase_mb,555.90,1.47,554.62,557.19,553.63

